"acceleration_success","action_in_counterattack_success","aerial_duel_success","ball_delivery_to_danger_zone_success","ball_delivery_to_penalty_area_success","ball_entry_in_final_third_success","controlled_box_entry_success","controlled_penalty_area_entry_success","cross_to_penalty_area_success","cross_to_goalie_box_success","dangerous_opponent_half_recovery_success","dangerous_own_half_loss_success","defensive_duel_success","dribble_success","forward_pass_success","foul","free_kick_success","interception_success","key_pass_success","loose_ball_duel_success","opportunity_success","opportunity_creation_success","pass_to_zone_fourteen_success","pass_to_final_third_success","pass_to_penalty_area_success","progressive_pass_success","progressive_run_success","recovery_success","recovery_counterpressing_success","red_cards","smart_pass_success","shot_after_corner_success","shot_after_free_kick_success","shot_after_throw_in_success","shot_assist_success","shot_buildup_pass_success","shot_from_cross_success","shot_from_danger_zone_success","shot_from_outside_area_success","through_pass_success","throw_in_success","touch_in_box_success","touch_success","vertical_pass_success","yellow_cards","result"
11,14,17,6,12,2,0,2,4,0,1,0,20,11,65,14,2,25,1,17,4,3,10,18,10,34,6,85,44,0,3,1,0,0,7,20,0,2,2,1,23,5,1,74,2,"1"
4,0,24,11,22,6,0,1,12,2,4,0,19,27,121,8,0,13,1,17,2,2,35,62,21,99,4,95,59,0,2,1,0,1,8,26,0,1,1,2,28,10,0,189,2,"0"
7,0,7,0,6,0,0,0,3,0,4,1,15,11,60,12,0,8,0,9,2,5,4,17,6,37,1,48,25,1,4,1,0,0,6,0,0,1,1,2,14,5,0,46,1,"1"
16,0,5,0,9,2,0,3,0,0,4,0,17,19,89,8,0,14,2,14,7,5,17,33,6,43,12,70,26,0,2,1,0,1,11,0,0,5,2,3,10,7,0,118,2,"1"
9,0,5,0,12,3,0,0,6,0,0,0,8,15,79,6,0,17,1,8,1,2,16,25,12,40,4,42,21,0,1,0,0,0,4,0,0,1,0,3,6,4,0,106,1,"0"
11,0,4,0,10,1,0,2,3,1,1,0,13,20,69,13,2,10,2,8,1,0,14,27,8,49,10,62,27,0,1,0,0,0,4,0,0,0,1,0,12,4,0,79,2,"0"
7,0,22,0,17,1,0,1,2,0,1,0,16,13,105,18,0,15,2,9,3,2,12,31,16,47,8,79,31,0,0,1,0,0,4,0,0,1,1,2,17,9,0,102,2,"1"
2,0,10,0,4,0,0,0,1,0,3,1,13,2,45,14,2,6,0,15,0,0,12,18,4,34,1,53,21,0,0,0,0,0,4,0,0,0,0,3,10,1,0,24,4,"0"
1,0,4,0,4,1,0,0,1,0,0,0,10,11,89,11,0,14,1,13,1,1,8,23,4,44,1,60,23,1,1,0,0,1,2,0,1,0,1,0,20,1,0,57,1,"0"
3,0,0,0,11,1,0,3,2,0,6,0,27,23,78,15,3,17,2,24,6,2,5,26,8,35,4,90,51,0,2,1,1,0,6,0,0,3,1,2,29,7,0,35,1,"0"
9,0,18,0,8,1,0,1,2,0,1,0,19,17,75,10,1,12,5,13,5,4,8,20,7,38,4,81,42,0,2,1,0,0,5,0,1,2,2,1,6,7,0,88,2,"1"
14,0,22,0,8,2,0,0,6,0,2,0,19,24,73,18,2,8,4,15,4,5,17,29,8,41,9,67,38,0,2,0,1,2,6,0,2,2,2,2,35,2,0,67,2,"0"
3,0,10,0,7,3,0,0,1,0,1,0,19,13,85,22,5,12,3,5,2,6,24,36,7,50,4,66,25,0,2,0,2,0,8,0,0,2,0,1,12,3,0,93,1,"0"
2,0,19,0,12,1,0,0,5,1,2,1,20,16,77,11,1,16,4,14,4,4,6,17,12,39,2,82,37,0,1,0,0,0,6,0,1,2,0,0,14,6,0,70,3,"0"
5,0,12,0,10,0,0,4,2,0,3,0,20,36,100,9,2,24,2,10,3,4,9,22,6,44,15,70,32,0,6,1,0,0,8,0,0,2,2,4,14,7,0,122,3,"1"
1,0,9,0,2,0,0,0,1,0,1,0,16,18,63,12,3,17,0,8,1,0,5,19,2,31,2,66,29,0,1,1,0,0,1,0,0,1,0,1,4,4,0,108,1,"0"
