"id","name","age","birth_date","height","weight","foot","owner_team_id","owner_team_name","on_loan","current_team_id","current_team_name","market_value","contract_expires","image"
"519662","M. van Kins",20,1998-12-17,182,69,NA,"1514","ADO Den Haag",FALSE,"1514","ADO Den Haag",NA,NA,"https://cdn5.wyscout.com/photos/players/public/g519662_100x130.png"
"-95421","M. Rieder",19,1999-09-29,NA,NA,NA,"1514","ADO Den Haag",FALSE,"1514","ADO Den Haag",NA,NA,"https://cdn5.wyscout.com/photos/players/public/g-95421_100x130.png"
"448390","T. David",22,1997-01-28,180,70,"right","1514","ADO Den Haag",FALSE,"1514","ADO Den Haag",1e+05,2019-06-30,"https://cdn5.wyscout.com/photos/players/public/g448390_100x130.png"
"-78315","R. Polley",20,1998-12-28,183,66,NA,"1514","ADO Den Haag",FALSE,"1514","ADO Den Haag",NA,NA,"https://cdn5.wyscout.com/photos/players/public/g-78315_100x130.png"
"17341","D. Gorter",30,1988-06-15,175,70,"left","1514","ADO Den Haag",FALSE,"1514","ADO Den Haag",250000,NA,"https://cdn5.wyscout.com/photos/players/public/3819_100x130.png"
"215540","M. Havekotte",23,1995-09-12,187,79,NA,"1514","ADO Den Haag",FALSE,"1514","ADO Den Haag",50000,NA,"https://cdn5.wyscout.com/photos/players/public/g215540_100x130.png"
"144782","N. Kuipers",26,1992-10-08,190,89,"right","1514","ADO Den Haag",TRUE,"1539","Emmen",250000,NA,"https://cdn5.wyscout.com/photos/players/public/56420_100x130.png"
"471787","H. Asmelash",19,1999-07-01,177,75,"right","1514","ADO Den Haag",TRUE,"1542","TOP Oss",2e+05,2019-06-30,"https://cdn5.wyscout.com/photos/players/public/g471787_100x130.png"
"2167","R. Zwinkels",35,1983-05-04,186,82,"right","1514","ADO Den Haag",FALSE,"1514","ADO Den Haag",250000,NA,"https://cdn5.wyscout.com/photos/players/public/18028_100x130.png"
"72230","J. Goossens",30,1988-07-25,174,68,"left","1514","ADO Den Haag",FALSE,"1514","ADO Den Haag",575000,NA,"https://cdn5.wyscout.com/photos/players/public/33328_100x130.png"
