"id","position_cluster"
"-110147","Right-Sided Attacker"
"-110147","Left-Sided Attacker"
"-11621","Right-Sided Midfielder/Fullback"
"-11621","Central Midfielder"
"-11631","Right-Sided Attacker"
"-11631","Central Midfielder"
"-11760","Left-Sided Midfielder/Fullback"
"-24336","Central Defender"
"-29330","Central Forward"
"-30900","Central Defender"
"-31108","Left-Sided Midfielder/Fullback"
"-31108","Central Defender"
"-31339","Central Defender"
"-31385","Central Defender"
"-31620","Central Midfielder"
"-32748","Right-Sided Midfielder/Fullback"
"-32759","Central Midfielder"
"-32762","Left-Sided Attacker"
"-32816","Right-Sided Midfielder/Fullback"
"-32816","Central Midfielder"
"-33570","Central Forward"
"-33620","Central Forward"
"-33620","Right-Sided Attacker"
"-33674","Left-Sided Midfielder/Fullback"
"-33674","Right-Sided Midfielder/Fullback"
"-33867","Left-Sided Attacker"
"-33867","Central Midfielder"
"-33868","Left-Sided Midfielder/Fullback"
"-33963","Central Forward"
"-33963","Left-Sided Attacker"
"-33967","Left-Sided Attacker"
"-33967","Right-Sided Attacker"
"-34064","Central Defender"
"-34895","Central Midfielder"
"-36645","Central Forward"
"-36645","Central Midfielder"
"-38069","Left-Sided Midfielder/Fullback"
"-38071","Central Midfielder"
"-38750","Central Midfielder"
"-38762","Left-Sided Attacker"
"-40961","Right-Sided Attacker"
"-40996","Central Defender"
"-40997","Central Midfielder"
"-41006","Central Forward"
"-41013","Left-Sided Attacker"
"-41013","Central Midfielder"
"-41013","Left-Sided Midfielder/Fullback"
"-41168","Central Midfielder"
"-41195","Right-Sided Midfielder/Fullback"
"-41421","Central Defender"
"-41421","Right-Sided Midfielder/Fullback"
"-41490","Central Defender"
"-41506","Central Midfielder"
"-41740","Central Midfielder"
"-41937","Central Defender"
"-41998","Right-Sided Midfielder/Fullback"
"-42156","Left-Sided Midfielder/Fullback"
"-42161","Central Forward"
"-42241","Central Defender"
"-42409","Left-Sided Midfielder/Fullback"
"-42409","Right-Sided Midfielder/Fullback"
"-42419","Left-Sided Midfielder/Fullback"
"-42419","Right-Sided Midfielder/Fullback"
"-42436","Right-Sided Midfielder/Fullback"
"-42436","Central Defender"
"-42474","Left-Sided Midfielder/Fullback"
"-42474","Left-Sided Attacker"
"-42482","Central Defender"
"-42482","Central Midfielder"
"-42508","Central Defender"
"-42621","Central Forward"
"-42621","Central Midfielder"
"-42743","Central Defender"
"-42743","Central Midfielder"
"-42939","Right-Sided Midfielder/Fullback"
"-42981","Central Forward"
"-42981","Left-Sided Attacker"
"-43419","Central Defender"
"-43437","Central Defender"
"-43465","Right-Sided Midfielder/Fullback"
"-43467","Central Defender"
"-44003","Central Midfielder"
"-44017","Central Defender"
"-44017","Left-Sided Midfielder/Fullback"
"-44021","Central Midfielder"
"-44025","Central Defender"
"-44025","Central Midfielder"
"-44026","Right-Sided Attacker"
"-44026","Central Midfielder"
"-44028","Left-Sided Midfielder/Fullback"
"-44028","Right-Sided Midfielder/Fullback"
"-44068","Left-Sided Midfielder/Fullback"
"-44117","Central Defender"
"-44117","Central Midfielder"
"-44124","Central Forward"
"-44174","Central Midfielder"
"-44175","Central Defender"
"-44269","Central Forward"
"-44293","Right-Sided Attacker"
"-44293","Central Forward"
"-44293","Left-Sided Attacker"
"-44293","Right-Sided Midfielder/Fullback"
"-44513","Left-Sided Midfielder/Fullback"
"-44513","Central Defender"
"-44518","Right-Sided Midfielder/Fullback"
"-44518","Left-Sided Midfielder/Fullback"
"-44530","Central Midfielder"
"-44530","Central Defender"
"-44535","Central Defender"
"-44544","Central Midfielder"
"-44544","Central Forward"
"-44544","Right-Sided Midfielder/Fullback"
"-44558","Central Forward"
"-44613","Central Forward"
"-44615","Central Defender"
"-44615","Central Midfielder"
"-44650","Left-Sided Attacker"
"-44708","Central Midfielder"
"-44708","Left-Sided Attacker"
"-44724","Left-Sided Attacker"
"-44724","Central Midfielder"
"-44739","Central Defender"
"-44750","Central Midfielder"
"-44762","Central Midfielder"
"-44777","Central Defender"
"-44789","Central Midfielder"
"-44789","Left-Sided Midfielder/Fullback"
"-44795","Right-Sided Midfielder/Fullback"
"-44795","Central Defender"
"-44795","Central Midfielder"
"-44797","Left-Sided Midfielder/Fullback"
"-44800","Central Forward"
"-44800","Left-Sided Attacker"
"-44806","Right-Sided Attacker"
"-44806","Right-Sided Midfielder/Fullback"
"-44811","Right-Sided Midfielder/Fullback"
"-44811","Central Midfielder"
"-44813","Left-Sided Midfielder/Fullback"
"-44848","Central Midfielder"
"-44848","Central Forward"
"-44848","Right-Sided Attacker"
"-44912","Central Defender"
"-44916","Left-Sided Attacker"
"-44916","Right-Sided Attacker"
"-44919","Left-Sided Midfielder/Fullback"
"-44923","Left-Sided Attacker"
"-44931","Central Forward"
"-44931","Left-Sided Attacker"
"-44931","Right-Sided Attacker"
"-44949","Central Defender"
"-44956","Left-Sided Attacker"
"-44956","Central Forward"
"-44984","Central Forward"
"-44988","Right-Sided Midfielder/Fullback"
"-44988","Central Defender"
"-44988","Left-Sided Midfielder/Fullback"
"-44994","Left-Sided Midfielder/Fullback"
"-44994","Central Defender"
"-44994","Right-Sided Midfielder/Fullback"
"-44996","Central Defender"
"-45001","Central Defender"
"-45003","Central Defender"
"-45008","Left-Sided Midfielder/Fullback"
"-45014","Left-Sided Midfielder/Fullback"
"-45014","Right-Sided Midfielder/Fullback"
"-45021","Left-Sided Midfielder/Fullback"
"-45021","Central Forward"
"-45021","Central Midfielder"
"-45022","Right-Sided Midfielder/Fullback"
"-45023","Central Midfielder"
"-45023","Left-Sided Midfielder/Fullback"
"-45024","Left-Sided Midfielder/Fullback"
"-45025","Central Midfielder"
"-45025","Right-Sided Midfielder/Fullback"
"-45026","Central Defender"
"-45027","Central Forward"
"-45029","Central Midfielder"
"-45031","Central Midfielder"
"-45031","Left-Sided Attacker"
"-45039","Right-Sided Attacker"
"-45043","Central Defender"
"-45044","Central Midfielder"
"-45044","Central Defender"
"-45056","Central Defender"
"-45062","Central Forward"
"-45062","Left-Sided Attacker"
"-45078","Central Forward"
"-45078","Central Midfielder"
"-45078","Left-Sided Attacker"
"-45082","Central Forward"
"-45082","Central Midfielder"
"-45082","Right-Sided Attacker"
"-45148","Left-Sided Midfielder/Fullback"
"-45166","Central Forward"
"-45166","Left-Sided Attacker"
"-45227","Central Forward"
"-45227","Left-Sided Attacker"
"-45270","Central Defender"
"-45304","Central Midfielder"
"-45304","Left-Sided Attacker"
"-45310","Left-Sided Midfielder/Fullback"
"-45312","Central Defender"
"-45314","Central Defender"
"-45315","Central Defender"
"-45317","Central Midfielder"
"-45318","Central Midfielder"
"-45318","Left-Sided Attacker"
"-45320","Central Defender"
"-45320","Central Midfielder"
"-45320","Right-Sided Midfielder/Fullback"
"-45321","Central Forward"
"-45321","Central Midfielder"
"-45322","Central Forward"
"-45328","Right-Sided Midfielder/Fullback"
"-45330","Central Midfielder"
"-45331","Left-Sided Attacker"
"-45331","Right-Sided Attacker"
"-45332","Right-Sided Attacker"
"-45332","Left-Sided Attacker"
"-45333","Left-Sided Midfielder/Fullback"
"-45336","Left-Sided Attacker"
"-45336","Central Forward"
"-45338","Left-Sided Midfielder/Fullback"
"-45338","Right-Sided Midfielder/Fullback"
"-45340","Left-Sided Attacker"
"-45353","Central Forward"
"-45367","Central Defender"
"-45370","Right-Sided Attacker"
"-45370","Right-Sided Midfielder/Fullback"
"-45371","Central Midfielder"
"-45374","Central Midfielder"
"-45374","Left-Sided Attacker"
"-45374","Right-Sided Attacker"
"-45375","Central Forward"
"-45375","Left-Sided Attacker"
"-45375","Right-Sided Attacker"
"-45379","Central Forward"
"-45379","Left-Sided Attacker"
"-45382","Central Midfielder"
"-45383","Central Forward"
"-45385","Left-Sided Attacker"
"-45385","Right-Sided Attacker"
