"id","positions"
"17341","LCMF3"
"215540","GK"
"144782","RCB"
"471787","RWB"
"471787","RB5"
"2167","GK"
"72230","RCMF3"
"72230","LW"
"72230","LCMF"
"280720","DMF"
"280720","LDMF"
"275110","GK"
"24674","CF"
"471920","LCB"
"471920","RCB"
"471920","DMF"
"517976","RW"
"517976","RWF"
"517976","RB"
"137118","RCB"
"477602","CF"
"14975","CF"
"171399","LWF"
"171399","LW"
"171399","RW"
"65236","DMF"
"65236","RB"
"65236","RCMF3"
"258732","LW"
"258732","CF"
"258732","LWF"
"59081","LB"
"252050","LCB"
"65719","LCMF3"
"65719","LCMF"
"65719","AMF"
"219030","RWF"
"219030","RW"
"219030","RAMF"
"63627","RCMF"
"63627","RCMF3"
"63627","RDMF"
"102878","RCB"
"306588","RB"
"88114","GK"
"300873","LB"
"395433","CF"
"20321","RW"
"20321","RAMF"
"20321","LAMF"
"141419","LCB"
"423940","RB"
"102889","AMF"
"102889","LAMF"
"379791","LDMF"
"379791","RDMF"
"222929","GK"
"381095","RCMF3"
"381095","AMF"
"381095","RDMF"
"102599","LB"
"316064","CF"
"255713","RAMF"
"255713","AMF"
"2179","CF"
"381105","RB"
"433194","RAMF"
"433194","LAMF"
"433194","AMF"
"372465","GK"
"17366","RDMF"
"319301","AMF"
"319301","RDMF"
"404591","LDMF"
"399768","RCB"
"68886","LCB"
"68886","LB"
"40709","LAMF"
"40709","AMF"
"40709","RAMF"
"58712","LCB"
"305986","CF"
"66278","DMF"
"66278","RCB"
"448434","LAMF"
"448434","LCMF3"
"448434","AMF"
"148887","RW"
"148887","CF"
"148887","RAMF"
"458658","CF"
"458658","LAMF"
"320098","CF"
"320098","AMF"
"320098","RW"
"134067","RB"
"134067","RCB"
"458659","RAMF"
"458659","RW"
"102912","LDMF"
"102912","RDMF"
"2248","RCB"
"2248","LCB"
"250530","RAMF"
"250530","AMF"
"250530","CF"
"334852","RCB"
"256718","CF"
"194827","CF"
"194827","RAMF"
"399769","LCB"
"399769","LDMF"
"126923","RB"
"135714","RDMF"
"135714","LDMF"
"407740","LB"
"451981","AMF"
"134058","GK"
"275115","LAMF"
"218126","RWF"
"303283","LCB3"
"303283","LCB"
"347787","LW"
"347787","LWF"
"347787","AMF"
"274426","RCB"
"274426","LDMF"
"274426","RDMF"
"292972","CF"
"20999","AMF"
"20999","CF"
"444321","RDMF"
"444321","LDMF"
"376573","LCB"
"376573","RCB"
"376573","RCB3"
"77303","RDMF"
"77303","LDMF"
"77303","RCMF"
"217665","RCB"
"217665","CB"
"59082","RAMF"
"59082","RW"
"59082","RWF"
"49873","RDMF"
"49873","RCMF"
"49873","RCMF3"
"195653","CF"
"251736","LB"
"251736","LB5"
"251736","LDMF"
"361689","AMF"
"361689","LAMF"
"361689","LCMF3"
"145954","RAMF"
"145954","CF"
"145954","LAMF"
"289814","RB"
"289814","LB"
"289814","RB5"
"433355","LW"
"433355","CF"
"209173","RDMF"
"209173","AMF"
"209173","RW"
"275120","RB"
"275120","RB5"
"215556","LW"
"215556","RCMF3"
"215556","CF"
"236419","LCMF"
"236419","LW"
"49893","LB"
"49893","LCB3"
"49893","LCB"
"26789","CF"
"87825","AMF"
"87825","LAMF"
"103541","RW"
"103541","RCMF3"
"49562","RB"
"49803","CF"
"49803","AMF"
"189026","LCMF"
"189026","DMF"
"189026","LW"
"251793","LB"
"210274","LCB"
"210274","CB"
"391071","CF"
"461386","GK"
"319285","RCB"
"319285","RCB3"
"110910","LB"
"110910","LW"
"381327","RCMF"
"381327","LCMF3"
"275148","CF"
"275148","RAMF"
"442034","LCB"
"442034","RCB"
"452379","RDMF"
"452379","DMF"
"215549","LB"
"215549","LW"
"2103","CF"
"2103","LAMF"
"347795","GK"
"142733","GK"
"2101","CF"
"2101","AMF"
"49539","RAMF"
"49539","CF"
"49539","LW"
"267035","LCB"
"448432","RDMF"
"448432","RCMF"
"448432","RCMF3"
"2235","LAMF"
"2235","LW"
"192662","RCB"
"73139","RB"
"24671","LDMF"
"24671","LCMF"
"213035","CF"
"251685","LB"
"251685","LCB3"
"463698","RB"
"463698","RCB"
"440448","RWF"
"440448","RAMF"
"440448","LW"
"455715","LWF"
"455715","LW"
"2175","GK"
"180957","RDMF"
"180957","RCMF"
"180957","DMF"
"189025","LCMF3"
"189025","DMF"
"189025","LDMF"
"275124","RB"
"49658","RCB"
"426580","LB"
"319288","LB"
"283008","RCB"
"283008","LCB"
"340393","GK"
"94958","CF"
"394647","RB"
"426585","CF"
"49","CF"
"49","AMF"
"339651","LWF"
"339651","LCMF"
"339651","LCMF3"
"110217","AMF"
"110217","RCMF3"
"110217","RCMF"
"24610","LCB"
"134080","RAMF"
"134080","RWF"
"134080","RW"
"138455","LAMF"
"138455","LWF"
"138455","LW"
"182926","LDMF"
"182926","LCMF3"
"182926","LCMF"
"-91081","RAMF"
"-91081","LWF"
"396472","LAMF"
"396472","RAMF"
"279740","RCB"
"279740","LCB"
"382409","RAMF"
"382409","RWF"
"382409","RW"
"149937","GK"
"494699","LAMF"
"494699","CF"
"494699","LWF"
"501820","RDMF"
"509764","LCMF"
"509764","CF"
"509764","RCMF"
"258756","CB"
"258756","RCMF"
"258756","RCB3"
"176420","LCB"
"218151","LB"
"218151","LWB"
"449679","RB"
"451000","LAMF"
"451000","LWF"
"451000","RAMF"
"272799","RCB"
"272799","RB"
"428023","RB"
"217925","LB"
"319661","CF"
"322326","LCB"
"322326","RCB"
"281752","RCMF"
"281752","LCMF"
"281752","DMF"
"389203","LDMF"
"389203","LCMF3"
"389203","DMF"
"254767","AMF"
"177456","GK"
"477595","LAMF"
"477595","LWB"
"497149","RB"
"180145","CF"
"497148","GK"
"-41384","AMF"
"-41384","CF"
"-41384","LW"
"269925","CF"
"260046","CF"
"307697","LCMF"
"307697","AMF"
"307697","RCMF"
"440873","RCMF"
"440873","RDMF"
"325410","LW"
"325410","RWF"
"325410","LWB"
"497147","RCMF"
"497147","LCMF"
"414054","LCB"
"414054","LCB3"
"381081","RB"
"137188","RCB"
"137188","RB"
"137188","RCB3"
"95824","GK"
"317405","LW"
"292623","LCMF"
"292623","RCB"
"292623","LCB"
"396704","RW"
"396704","CF"
"396704","RAMF"
"195600","RB"
"195600","RCB"
"2215","DMF"
"2215","LCMF"
"2215","LDMF"
"-41428","RB"
"-41428","CF"
"-41428","RW"
"376309","DMF"
"376309","RCB"
"376309","RCMF"
"268859","LW"
"268859","LAMF"
"268859","LWB"
"314251","LW"
"314251","AMF"
"314251","LDMF"
"270648","LDMF"
"270648","RDMF"
"270648","DMF"
"423878","RCB"
"269216","LB"
"122603","LCMF"
"122603","RAMF"
"122603","LDMF"
"289816","CF"
"289816","LCMF3"
"289816","RCMF"
"39152","RCB"
"385271","RB"
"137185","RCMF"
"137185","RDMF"
"137185","AMF"
"437259","LCB"
"437259","LCB3"
"452053","LCB"
"452053","LB"
"102913","GK"
"426574","RW"
"426574","AMF"
"426574","RAMF"
"407742","AMF"
"407742","CF"
"407742","LCMF"
"504747","LAMF"
"385279","LB"
"450509","RDMF"
"450509","RB"
"250395","GK"
"215228","LCB"
"215228","RCB"
"408536","RW"
"408536","LW"
"408536","CF"
"419542","AMF"
"419542","CF"
"192186","RCB"
"192186","LCB"
"192186","RCB3"
"49698","RB"
"274647","LW"
"274647","RW"
"274647","CF"
"453551","LB"
"453551","LB5"
"447106","CF"
"447106","AMF"
"447106","RW"
"236417","LCMF"
"236417","LDMF"
"236417","DMF"
"305023","CF"
"24668","RB"
"132792","RW"
"132792","AMF"
"132792","LCMF3"
"49847","LB"
"353273","LCB"
"86311","RW"
"86311","RAMF"
"86311","CF"
"259538","RCB"
"278680","CF"
"167229","LCMF"
"167229","RCMF"
"167229","DMF"
"81303","GK"
"255469","CF"
"255469","RW"
"255469","RWF"
"218002","LW"
"218002","LAMF"
"218002","LWF"
"408406","RCMF"
"408406","AMF"
"-108961","LB5"
"329804","LAMF"
"329804","LW"
"329804","LWF"
"151694","RWB"
"151694","LB5"
"151694","RB"
"508205","RDMF"
"-91086","CF"
"-91086","AMF"
"413399","LB"
"488972","RCB3"
"488972","RCB"
"265361","LB"
"265361","LWB"
"367531","LB"
"263521","LAMF"
"263521","CF"
"136119","LDMF"
"217662","RB"
"217662","RB5"
"254770","AMF"
"254770","LCMF3"
"254770","LAMF"
"450513","AMF"
"469736","CF"
"469736","RW"
"469736","RAMF"
"24635","RDMF"
"24635","LCMF"
"24635","LDMF"
"319385","RCMF"
"319385","RB"
"319385","RDMF"
"331827","LAMF"
"331827","LCMF"
"138459","CF"
"157687","LCB"
"157687","LCB3"
"469735","LAMF"
"469735","LW"
"469735","LCMF3"
"-90859","RW"
"-90859","RDMF"
"-90859","RCMF"
"161299","RCB"
"161299","CB"
"91306","RAMF"
"91306","RW"
"408569","RCB"
"319923","AMF"
"319923","RDMF"
"319923","RAMF"
"-110584","RW"
"8014","RCB"
"102905","RB"
"102905","LB"
"379793","RCMF3"
"379793","RCMF"
"379793","LW"
"49656","GK"
"340513","LCB"
"340513","LCMF"
"340513","LCB3"
"102830","LCB"
"102830","RCB"
"39900","AMF"
"39900","CF"
"-72826","LCB"
"-72826","RCB"
"-72826","RB"
"192772","RW"
"192772","RAMF"
"192772","LW"
"461786","RDMF"
"461786","RCMF3"
"2145","LCB"
"2145","RCB"
"2145","LB"
"264397","LDMF"
"264397","LCMF"
"264397","LCMF3"
"322328","RDMF"
"322328","LDMF"
"322328","RCMF"
"102530","CF"
"218009","GK"
"330044","CF"
"330044","LAMF"
"330044","RW"
"423564","CF"
