"id","Season","GP","Mins","G","A","Shots","SOG","FC","OFF","Y","R"
-115057,"2018/2019",1,6,0,0,0,0,0,0,0,0
-115000,"2018/2019",3,285,0,0,2,0,1,0,0,0
-114673,"2018/2019",3,43,0,0,0,0,0,0,0,0
-114171,"2018/2019",1,57,0,0,1,1,1,0,0,0
-114150,"2018/2019",2,139,0,0,0,0,2,0,0,0
-110584,"2018/2019",1,19,0,0,0,0,0,0,0,0
-110147,"2018/2019",14,1016,1,2,9,5,22,5,4,1
-110147,"2017/2018",9,566,0,0,7,2,11,1,1,0
-110085,"2018/2019",2,53,0,0,1,0,2,0,1,0
-110026,"2018/2019",3,228,2,0,5,2,3,1,1,0
-110025,"2018/2019",3,202,0,0,10,8,4,0,1,0
-109563,"2018/2019",1,1,0,0,0,0,0,0,0,0
-109129,"2018/2019",1,9,0,0,0,0,0,0,0,0
-108965,"2018/2019",1,29,0,0,0,0,1,0,0,0
-108961,"2018/2019",2,190,0,0,0,0,1,0,0,0
-108173,"2018/2019",4,144,0,0,1,1,4,0,1,0
-107692,"2018/2019",1,7,0,0,0,0,0,0,0,0
-107673,"2018/2019",1,29,0,0,0,0,0,0,0,0
-107277,"2018/2019",2,192,0,0,1,1,1,0,0,0
-107186,"2018/2019",1,5,0,0,0,0,1,0,0,0
-107158,"2018/2019",1,6,0,0,0,0,0,0,0,0
-107155,"2018/2019",5,181,0,0,0,0,2,0,0,1
-106906,"2018/2019",3,9,0,0,0,0,0,0,0,0
-106905,"2018/2019",2,28,0,0,0,0,2,0,1,0
-106749,"2018/2019",1,9,0,0,0,0,0,0,0,0
-106747,"2018/2019",1,22,0,0,0,0,0,0,0,0
-106608,"2018/2019",1,93,0,0,0,0,0,0,0,0
-105994,"2018/2019",5,151,0,0,0,0,4,0,0,0
-105410,"2018/2019",1,7,0,0,0,0,1,0,0,0
-104967,"2018/2019",1,59,0,0,0,0,3,0,0,0
-104782,"2018/2019",1,26,0,0,0,0,0,0,0,0
-104758,"2018/2019",1,23,0,0,0,0,1,0,0,0
-104547,"2018/2019",6,326,0,0,6,2,10,6,0,0
-104546,"2018/2019",3,65,0,0,0,0,0,0,0,0
-104537,"2018/2019",5,167,0,1,2,1,3,0,1,0
-104421,"2018/2019",3,82,1,0,2,1,3,2,0,0
-104420,"2018/2019",3,212,1,0,9,2,0,1,0,0
-104262,"2018/2019",3,43,0,0,1,0,0,0,0,0
-104232,"2018/2019",6,574,0,0,0,0,4,0,1,0
-103643,"2018/2019",5,318,0,0,2,0,7,0,3,0
-103415,"2018/2019",1,12,0,0,0,0,1,0,0,0
-103120,"2018/2019",1,94,0,0,2,0,2,0,0,0
-102895,"2018/2019",1,11,0,0,0,0,0,0,0,0
-102894,"2018/2019",2,81,0,0,0,0,1,0,0,0
-102893,"2018/2019",1,6,0,0,0,0,0,0,0,0
-102860,"2018/2019",1,94,0,0,0,0,3,2,1,0
-102834,"2018/2019",3,32,0,0,0,0,0,0,0,0
-102612,"2018/2019",3,9,0,0,0,0,1,0,0,0
-102611,"2018/2019",3,49,1,0,1,1,1,0,0,0
-102605,"2018/2019",4,58,0,0,0,0,1,1,0,0
-102441,"2018/2019",2,43,0,0,0,0,0,0,0,0
-102440,"2018/2019",6,123,0,0,1,0,0,0,0,0
-102407,"2018/2019",2,93,0,0,1,0,1,0,0,0
-102324,"2018/2019",1,47,0,0,0,0,0,0,0,0
-102317,"2018/2019",1,27,0,0,0,0,2,0,1,0
-102228,"2018/2019",1,95,0,0,0,0,1,0,0,0
-102218,"2018/2019",1,47,0,0,0,0,0,0,0,0
-102038,"2018/2019",1,11,0,0,0,0,0,0,0,0
-102025,"2018/2019",6,322,1,0,6,3,12,0,0,0
-101994,"2018/2019",1,53,0,0,0,0,3,0,1,1
-101644,"2018/2019",4,208,0,0,3,0,7,0,2,0
-101410,"2018/2019",2,41,0,0,0,0,1,0,0,0
-101348,"2018/2019",3,209,2,0,3,2,1,3,0,0
-101194,"2018/2019",1,4,0,0,1,0,0,0,0,0
-101173,"2018/2019",6,216,0,0,1,0,4,0,1,0
-101087,"2018/2019",9,134,0,0,2,2,4,0,0,0
-101061,"2018/2019",4,64,0,0,1,1,2,0,0,0
-100834,"2018/2019",1,28,0,0,0,0,0,0,0,0
-100770,"2018/2019",1,19,0,0,0,0,0,0,0,0
-100728,"2018/2019",3,157,0,0,0,0,2,1,0,0
-100674,"2018/2019",1,6,0,0,0,0,0,0,0,0
-100284,"2018/2019",2,67,0,1,0,0,0,1,0,0
-100151,"2018/2019",1,87,0,0,0,0,0,1,0,0
-99962,"2018/2019",4,119,0,0,0,0,5,0,0,0
-99961,"2018/2019",1,16,0,0,0,0,0,0,0,0
-99791,"2018/2019",5,71,1,0,4,2,5,0,1,0
-99764,"2018/2019",4,344,1,0,9,4,7,0,0,0
-99761,"2018/2019",8,660,0,0,2,1,10,0,0,0
-99740,"2018/2019",3,281,0,0,0,0,0,0,0,0
-99596,"2018/2019",9,848,0,1,7,5,8,0,2,0
-99593,"2018/2019",13,877,3,4,16,5,13,0,1,0
-99370,"2018/2019",11,367,2,0,13,3,13,1,2,0
-99319,"2018/2019",8,653,0,0,4,1,13,0,3,1
-99251,"2018/2019",9,570,3,1,9,6,13,5,1,0
-99011,"2018/2019",7,465,3,3,12,6,2,1,0,0
-98996,"2018/2019",2,70,0,0,0,0,0,0,0,0
-98995,"2018/2019",7,139,0,0,1,0,0,0,0,0
-98890,"2018/2019",1,25,0,0,0,0,0,0,0,0
-98625,"2018/2019",11,958,0,0,2,0,8,0,0,0
-98623,"2018/2019",3,241,1,1,4,2,4,0,0,0
