"player_id","position_cluster","minutes"
-115000,"Central Defender",285
-114673,"Central Forward",20
-114673,"Right-Sided Attacker",17
-114171,"Central Forward",57
-114150,"Right-Sided Attacker",139
-110584,"Right-Sided Attacker",19
-110147,"Central Forward",99
-110147,"Left-Sided Attacker",1230
-110147,"Left-Sided Midfielder/Fullback",183
-110147,"Right-Sided Attacker",66
-110085,"Central Forward",53
-110026,"Central Midfielder",133
-110026,"Left-Sided Attacker",95
-110025,"Left-Sided Attacker",94
-110025,"Left-Sided Midfielder/Fullback",14
-110025,"Right-Sided Attacker",94
-109129,"Left-Sided Attacker",9
-108965,"Central Midfielder",29
-108961,"Left-Sided Midfielder/Fullback",190
-108173,"Central Midfielder",109
-108173,"Left-Sided Attacker",32
-107673,"Right-Sided Midfielder/Fullback",29
-107277,"Central Defender",192
-107155,"Left-Sided Midfielder/Fullback",11
-107155,"Right-Sided Midfielder/Fullback",159
-106905,"Left-Sided Attacker",18
-106905,"Right-Sided Attacker",10
-106749,"Central Midfielder",9
-106747,"Central Midfielder",22
-105994,"Central Midfielder",21
-105994,"Right-Sided Attacker",46
-105994,"Right-Sided Midfielder/Fullback",82
-104967,"Left-Sided Midfielder/Fullback",59
-104782,"Right-Sided Midfielder/Fullback",26
-104758,"Central Forward",23
-104547,"Central Forward",325
-104546,"Left-Sided Midfielder/Fullback",45
-104546,"Right-Sided Midfielder/Fullback",12
-104537,"Right-Sided Attacker",139
-104537,"Right-Sided Midfielder/Fullback",17
-104421,"Right-Sided Attacker",74
-104420,"Central Midfielder",96
-104420,"Right-Sided Attacker",116
-104262,"Central Forward",31
-104262,"Central Midfielder",12
-104232,"Central Defender",574
-103643,"Central Midfielder",98
-103643,"Left-Sided Attacker",209
-103643,"Right-Sided Attacker",11
-103415,"Central Forward",12
-103120,"Central Midfielder",94
-102895,"Right-Sided Attacker",11
-102894,"Central Midfielder",81
-102860,"Central Forward",94
-102834,"Central Defender",26
-102611,"Central Forward",27
-102605,"Central Forward",46
-102441,"Right-Sided Attacker",36
-102440,"Left-Sided Attacker",27
-102440,"Left-Sided Midfielder/Fullback",78
-102407,"Central Midfielder",79
-102324,"Central Midfielder",47
-102317,"Right-Sided Midfielder/Fullback",27
-102218,"Left-Sided Attacker",47
-102038,"Central Forward",11
-102025,"Central Midfielder",215
-102025,"Left-Sided Midfielder/Fullback",107
-101994,"Central Defender",53
-101644,"Central Forward",25
-101644,"Central Midfielder",123
-101644,"Left-Sided Midfielder/Fullback",60
-101410,"Left-Sided Midfielder/Fullback",41
-101348,"Central Forward",209
-101173,"Central Midfielder",186
-101087,"Central Forward",42
-101087,"Central Midfielder",21
-101087,"Right-Sided Attacker",58
-101061,"Central Forward",59
-100834,"Central Midfielder",28
-100770,"Left-Sided Attacker",19
-100728,"Left-Sided Midfielder/Fullback",157
-100284,"Left-Sided Attacker",64
-100151,"Central Midfielder",87
-99962,"Central Midfielder",57
-99962,"Left-Sided Midfielder/Fullback",31
-99962,"Right-Sided Attacker",31
-99961,"Central Midfielder",16
-99791,"Central Forward",57
-99791,"Central Midfielder",11
-99764,"Central Midfielder",344
-99761,"Central Defender",281
-99761,"Left-Sided Midfielder/Fullback",379
-99596,"Central Defender",848
-99593,"Left-Sided Attacker",767
-99593,"Right-Sided Attacker",110
-99370,"Central Forward",367
-99319,"Central Defender",653
-99251,"Central Forward",275
-99251,"Central Midfielder",295
-99011,"Central Forward",134
-99011,"Left-Sided Attacker",331
-98996,"Right-Sided Midfielder/Fullback",70
-98995,"Left-Sided Attacker",42
-98995,"Right-Sided Attacker",61
-98890,"Left-Sided Attacker",25
-98625,"Right-Sided Midfielder/Fullback",958
-98623,"Left-Sided Attacker",179
-98623,"Right-Sided Attacker",62
-98540,"Right-Sided Midfielder/Fullback",55
-98512,"Left-Sided Midfielder/Fullback",91
-98208,"Left-Sided Attacker",34
-98208,"Right-Sided Attacker",17
-98208,"Right-Sided Midfielder/Fullback",55
-98129,"Central Forward",82
-98129,"Left-Sided Attacker",57
-98129,"Right-Sided Attacker",148
-97985,"Central Midfielder",73
-97940,"Central Midfielder",368
-97940,"Right-Sided Attacker",185
-97939,"Central Defender",16
-97937,"Central Forward",8
-97937,"Central Midfielder",14
-97936,"Central Defender",281
-97800,"Central Defender",98
-97762,"Central Midfielder",49
-97762,"Left-Sided Attacker",458
-97762,"Left-Sided Midfielder/Fullback",334
-97397,"Central Forward",160
-97329,"Left-Sided Midfielder/Fullback",231
-97329,"Right-Sided Midfielder/Fullback",60
-97071,"Central Midfielder",95
-97071,"Left-Sided Attacker",82
-97071,"Left-Sided Midfielder/Fullback",8
-97071,"Right-Sided Attacker",300
-97058,"Central Forward",95
-97058,"Central Midfielder",151
-96979,"Central Defender",45
-96755,"Central Midfielder",76
-96753,"Central Forward",48
-96753,"Left-Sided Attacker",49
-96753,"Right-Sided Attacker",9
-96653,"Left-Sided Midfielder/Fullback",92
-96653,"Right-Sided Attacker",137
-96653,"Right-Sided Midfielder/Fullback",430
-96570,"Right-Sided Attacker",11
-96530,"Central Forward",15
-96530,"Central Midfielder",37
-96530,"Left-Sided Attacker",11
-96530,"Right-Sided Attacker",15
-96482,"Central Forward",94
-96482,"Left-Sided Midfielder/Fullback",67
-96482,"Right-Sided Midfielder/Fullback",96
-96477,"Left-Sided Attacker",55
-96132,"Right-Sided Attacker",56
-96132,"Right-Sided Midfielder/Fullback",189
-95919,"Central Defender",14
-95919,"Right-Sided Attacker",24
-95919,"Right-Sided Midfielder/Fullback",15
-95908,"Right-Sided Attacker",374
-95903,"Right-Sided Midfielder/Fullback",68
-95866,"Right-Sided Midfielder/Fullback",48
-95658,"Central Midfielder",23
-95630,"Central Midfielder",155
-95618,"Central Defender",166
-95554,"Central Forward",283
-95554,"Central Midfielder",33
-95553,"Central Forward",12
-95553,"Central Midfielder",373
-95550,"Left-Sided Attacker",1965
-95550,"Right-Sided Attacker",68
-95490,"Right-Sided Attacker",83
-95459,"Central Defender",289
-95457,"Left-Sided Midfielder/Fullback",50
-95424,"Left-Sided Attacker",115
-95419,"Central Midfielder",140
-95355,"Right-Sided Attacker",43
-95340,"Left-Sided Attacker",19
-95284,"Central Midfielder",53
-95220,"Right-Sided Midfielder/Fullback",52
-95171,"Central Defender",514
-95158,"Left-Sided Attacker",90
-95158,"Right-Sided Attacker",92
-95026,"Central Forward",36
-94992,"Right-Sided Attacker",77
-94964,"Right-Sided Attacker",125
-94962,"Central Midfielder",68
-94929,"Central Midfielder",10
-94914,"Left-Sided Midfielder/Fullback",14
-94911,"Central Defender",67
-94580,"Central Forward",8
-94580,"Central Midfielder",294
-94280,"Central Defender",125
-94258,"Central Forward",818
-94097,"Central Midfielder",21
